Name,Column 16,Latitude,Longitude,Status,IUC,Race,State,Denomination,Expenditure,LT_Invest,Faculty_FT,Faculty_FTE,Enrollment_HC,Enrollment_FTE,MDiv Tuitition
Regent University School of Divinity,"36.80115861024031, -76.19684566330781",36.80115861,-76.19684566,ACCRED,U,B,VA,Inter/Multidenominational,"14,357",2.6,12,33,"1,109",645,"16,920"
Robert E. Webber Institute for Worship Studies,"30.28066637480548, -81.65016823585354",30.28066637,-81.65016824,ACCRED,I,W,FL,Inter/Multidenominational,"1,180",0.2,1,5,122,136,0
Talbot School of Theology of Biola University,"33.90631550283665, -118.0178893590136",33.9063155,-118.0178894,ACCRED,U,W,CA,Inter/Multidenominational,"61,556",0,49,58,"1,457",753,"18,539"
Kairos University,"43.52557115461354, -96.7358767567706",43.52557115,-96.73587676,ACCRED,I,W,SD,North American Baptist Conference,"8,706",12,14,20,"1,157",724,"3,600"
University of Northwestern-St. Paul School of Theology and Ministry,"45.031363677778664, -93.16841524530996",45.03136368,-93.16841525,ASSOC,U,W,MN,Nondenominational,478,29.6,2,7,39,22,"12,240"
Washington University of Virginia - Neal T. Jones Seminary,"38.86149000126361, -77.33528576777384",38.86149,-77.33528577,ACCRED,C,M,VA,Nondenominational,"2,494",0,4,11,77,55,"6,310"
Westminster Theological Seminary in California,"33.12157913264487, -117.04604154554904",33.12157913,-117.0460415,ACCRED,I,W,CA,Nondenominational,"6,510",14.1,11,12,108,108,"21,100"
World Mission University School of Theology,"34.06484977068703, -118.28960012832195",34.06484977,-118.2896001,ACCRED,C,A,CA,Nondenominational,"4,630",0.5,7,14,301,237,"5,640"
Charlotte Theological Seminary,"35.15959115864531, -80.7371949878028",35.15959116,-80.73719499,ASSOC,I,,NC,Nondenominational,"1,240",0,1,3,39,19,"12,858"
Dallas Theological Seminary,"32.79446466049741, -96.78001851672485",32.79446466,-96.78001852,ACCRED,I,W,TX,Nondenominational,"64,346",143.8,59,80,"2,609","1,361","21,070"
Indianapolis Theological Seminary,"39.913094137828786, -86.03219737597044",39.91309414,-86.03219738,ASSOC,I,,IN,Nondenominational,923,0,1,9,59,27,0
International Theological Seminary,"34.056940377761556, -117.93455411852926",34.05694038,-117.9345541,ACCRED,I,V,CA,Nondenominational,"1,763",0,0,7,125,98,"10,550"
Knox Theological Seminary,"26.195537823270307, -80.11341466111573",26.19553782,-80.11341466,ACCRED,I,W,FL,Nondenominational,"2,272",1.8,4,8,141,86,"10,850"
The Master's Seminary,"34.220345358689116, -118.42196263016639",34.22034536,-118.4219626,ACCRED,U,H,CA,Nondenominational,"14,620",14.5,11,27,812,544,"12,550"
Moody Theological Seminary,"41.89793545937249, -87.63336382111548",41.89793546,-87.63336382,ACCRED,C,N,IL,Nondenominational,"9,716",27.4,17,60,654,369,"12,936"
Multnomah Biblical Seminary of Jessup University,"45.5268060584872, -122.57657627572148",45.52680606,-122.5765763,ACCRED,C,W,OR,Nondenominational,"2,785",0,5,6,54,33,"16,130"
Pacific Theological Seminary,"32.89594413939652, -117.13246681672126",32.89594414,-117.1324668,ASSOC,I,,CA,Nondenominational,623,0,0,4,16,8,"11,000"
Phoenix Seminary,"33.581679326038326, -111.910805264575",33.58167933,-111.9108053,ACCRED,I,W,AZ,Nondenominational,"6,465",1.7,5,20,296,134,"10,470"
The Seattle School of Theology and Psychology,"47.59277415833409, -122.30886527377346",47.59277416,-122.3088653,ACCRED,I,W,WA,Nondenominational,"8,174",0,7,10,241,130,0
Shepherds Theological Seminary,"35.744008164668095, -78.74244386634452",35.74400816,-78.74244387,ACCRED,I,W,NC,Nondenominational,"3,649",0.1,8,8,224,132,"10,272"
Southern California Seminary Graduate School of Bible and Theology,"32.799672098603175, -116.90540754521477",32.7996721,-116.9054075,ACCRED,C,M,CA,Nondenominational,"1,298",0,7,7,76,38,"14,310"
